Nr.,x1,x2,y1,y2,z1,z2,z3,z4,U1,U2,Zeit
59,"1,2","1,9","-0,5","0,9","10,0","-23,6","-1,2","21,2","-0,0011","0,0216","0,0295"
60,"1,5","2,2","-0,8","-0,1","12,8","-23,6","-6,8","21,2","0,0014","0,0216","0,03"
61,"1,2","2,2","-0,5","-0,1","12,8","-26,4","-1,2","21,2","0,0039","0,0216","0,0305"
62,"1,2","2,5","-0,5","-0,1","10,0","-26,4","-1,2","24,0","-0,0011","0,0191","0,031"
63,"1,2","1,9","-0,8","0,2","7,2","-23,6","-1,2","21,2","0,0014","0,0216","0,0315"
64,"1,2","1,9","-1,2","0,2","10,0","-23,6","1,6","26,8","-0,0011","0,0216","0,032"
65,"0,9","1,9","-0,5","0,2","12,8","-26,4","1,6","18,4","0,0014","0,0216","0,0325"
66,"0,9","1,9","-0,8","-0,1","10,0","-23,6","-1,2","24,0","-0,0011","0,0216","0,033"
67,"0,9","1,9","-1,2","0,2","18,4","-23,6","1,6","24,0","-0,0011","0,0216","0,0335"
68,"1,2","1,9","-0,5","0,9","10,0","-20,8","-1,2","21,2","-0,0011","0,0191","0,034"
69,"1,2","2,2","-0,5","-0,5","10,0","-20,8","-1,2","26,8","-0,0011","0,0216","0,0345"
70,"1,2","1,9","-0,8","-0,1","10,0","-23,6","-1,2","21,2","-0,0011","0,0241","0,035"
71,"1,2","2,2","0,9","-0,1","12,8","-23,6","-4,0","24,0","-0,0011","0,0216","0,0355"
72,"1,2","1,9","-0,5","-0,1","12,8","-23,6","1,6","24,0","-0,0011","0,0191","0,036"
73,"1,5","2,2","-0,8","-0,1","10,0","-23,6","-4,0","21,2","-0,0036","0,0216","0,0365"
74,"1,2","1,9","-0,5","0,2","10,0","-23,6","-1,2","21,2","0,0014","0,0216","0,037"
75,"0,9","1,5","-0,5","-0,1","10,0","-23,6","-1,2","24,0","0,0014","0,0216","0,0375"
76,"1,5","2,2","-0,5","0,2","12,8","-23,6","-1,2","24,0","-0,0036","0,0216","0,038"
77,"1,2","2,2","-0,8","0,5","10,0","-23,6","-1,2","21,2","-0,0011","0,0191","0,0385"
78,"1,2","1,9","-0,8","-0,1","10,0","-23,6","-1,2","24,0","-0,0011","0,0216","0,039"
79,"1,2","1,9","-0,8","0,2","7,2","-23,6","1,6","24,0","-0,0011","0,0216","0,0395"
80,"0,9","2,5","-0,5","-0,5","10,0","-23,6","-1,2","21,2","-0,0036","0,0191","0,04"
81,"1,2","1,9","-0,5","-0,1","10,0","-23,6","1,6","24,0","0,0014","0,0191","0,0405"
82,"0,9","1,9","-0,8","-0,1","10,0","-26,4","-1,2","24,0","-0,0011","0,0241","0,041"
83,"1,2","1,9","-0,5","-0,1","10,0","-23,6","-1,2","24,0","0,0014","0,0216","0,0415"
84,"1,2","1,9","-1,2","0,2","10,0","-26,4","1,6","26,8","-0,0011","0,0191","0,042"
85,"1,2","1,9","-0,5","0,2","12,8","-23,6","1,6","24,0","0,0014","0,0216","0,0425"
86,"0,9","1,9","-1,8","-0,1","10,0","-20,8","-1,2","24,0","-0,0011","0,0191","0,043"
87,"1,2","2,2","-0,8","0,2","10,0","-20,8","-1,2","21,2","-0,0011","0,0216","0,0435"
88,"1,2","2,2","-0,1","0,2","12,8","-23,6","1,6","24,0","-0,0011","0,0216","0,044"
89,"1,5","2,2","-0,8","-0,1","10,0","-23,6","1,6","24,0","0,0014","0,0216","0,0445"
90,"1,2","1,9","-1,2","0,2","10,0","-20,8","1,6","24,0","-0,0011","0,0216","0,045"
91,"0,9","2,2","-0,8","-0,1","10,0","-23,6","-1,2","21,2","-0,0011","0,0166","0,0455"
92,"0,9","1,9","-0,8","0,2","10,0","-20,8","-1,2","21,2","0,0014","0,0191","0,046"
93,"1,2","2,2","-0,8","-0,1","12,8","-26,4","-1,2","21,2","-0,0011","0,0191","0,0465"
94,"0,9","1,9","-0,8","-0,1","10,0","-26,4","-1,2","24,0","-0,0011","0,0216","0,047"
95,"1,2","1,9","-1,5","0,2","12,8","-23,6","1,6","24,0","-0,0011","0,0216","0,0475"
96,"0,9","2,2","-0,5","0,2","10,0","-40,4","1,6","24,0","-0,0011","0,0191","0,048"
97,"1,2","1,9","-0,8","0,2","12,8","-23,6","-4,0","24,0","-0,0036","0,0216","0,0485"
98,"1,2","2,5","-0,8","0,2","10,0","-23,6","1,6","21,2","-0,0036","0,0216","0,049"
99,"1,2","1,9","-0,5","0,2","12,8","-23,6","1,6","24,0","-0,0011","0,0191","0,0495"
100,"0,9","1,9","-0,8","0,2","12,8","-23,6","1,6","24,0","0,0014","0,0191","0,05"
101,"1,2","1,9","-0,5","-0,5","12,8","-23,6","-1,2","21,2","-0,0011","0,0191","0,0505"
102,"0,5","1,9","-0,8","-0,1","10,0","-23,6","-1,2","24,0","-0,0011","0,0216","0,051"
103,"0,9","1,9","-0,8","-0,1","12,8","-23,6","-1,2","21,2","-0,0011","0,0216","0,0515"
104,"1,9","2,2","-0,8","0,5","10,0","-23,6","-1,2","24,0","-0,0011","0,0216","0,052"
105,"1,2","2,2","-0,8","0,2","12,8","-23,6","-1,2","21,2","-0,0011","0,0216","0,0525"
106,"1,2","2,2","-0,8","-0,1","10,0","-26,4","-1,2","21,2","-0,0011","0,0216","0,053"
107,"0,9","2,2","-1,2","-0,1","10,0","-23,6","-1,2","21,2","-0,0011","0,0216","0,0535"
108,"0,9","2,2","-0,8","0,5","12,8","-23,6","-1,2","21,2","-0,0011","0,0216","0,054"
109,"1,5","1,9","-1,2","0,2","10,0","-26,4","-1,2","21,2","-0,0011","0,0191","0,0545"
110,"1,2","2,2","-0,5","0,2","10,0","-23,6","-1,2","24,0","0,0014","0,0241","0,055"
111,"0,9","2,2","-0,5","0,2","10,0","-23,6","-4,0","21,2","-0,0011","0,0191","0,0555"
112,"1,2","1,9","-0,8","0,2","10,0","-26,4","-1,2","24,0","-0,0036","0,0191","0,056"
113,"0,5","2,2","-0,8","0,2","10,0","-26,4","1,6","24,0","-0,0036","0,0191","0,0565"
114,"0,9","2,2","-0,5","0,5","10,0","-20,8","-4,0","21,2","-0,0011","0,0191","0,057"
115,"0,9","1,9","-0,5","0,5","12,8","-23,6","-4,0","24,0","-0,0011","0,0191","0,0575"
116,"1,2","2,2","-0,8","-0,1","12,8","-23,6","-4,0","21,2","-0,0011","0,0191","0,058"
117,"0,9","1,9","-1,2","0,2","10,0","-26,4","-1,2","24,0","-0,0036","0,0216","0,0585"
118,"0,9","1,9","-0,8","0,2","10,0","-23,6","-1,2","21,2","-0,0036","0,0216","0,059"
119,"1,2","1,9","-0,8","0,2","12,8","-23,6","4,4","21,2","-0,0036","0,0191","0,0595"
120,"0,9","1,9","-1,2","0,5","10,0","-23,6","-1,2","26,8","-0,0011","0,0191","0,06"
121,"0,9","2,2","-0,8","-0,1","10,0","-26,4","-4,0","24,0","-0,0036","0,0191","0,0605"
122,"0,9","2,2","-0,8","-0,1","12,8","-26,4","-1,2","24,0","-0,0011","0,0216","0,061"
123,"0,5","1,9","-0,1","-0,1","12,8","-23,6","-6,8","21,2","0,0014","0,0216","0,0615"
124,"1,2","1,9","-0,8","0,2","10,0","-23,6","-1,2","24,0","-0,0011","0,0191","0,062"
125,"1,2","1,9","-0,8","0,2","7,2","-23,6","-1,2","21,2","-0,0011","0,0216","0,0625"
