Nr.;x1;x2;y1;y2;z1;z2;z3;z4;U1;U2;Zeit
63;-0,1;0,5;-0,1;-0,1;4,4;-12,4;-6,8;7,2;-0,0061;0,009;0,0315
64;0,2;0,2;-0,1;0,2;4,4;-6,8;-6,8;7,2;-0,0036;0,009;0,032
65;-0,1;0,5;0,2;0,2;4,4;-4;-6,8;7,2;-0,0087;0,009;0,0325
66;-0,1;0,5;0,2;-0,5;4,4;-4;-6,8;7,2;-0,0061;0,009;0,033
67;-0,1;0,2;-0,1;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,0065;0,0335
68;0,2;0,9;-0,1;0,5;1,6;-6,8;-6,8;7,2;-0,0061;0,0065;0,034
69;-0,1;0,5;-0,5;0,2;4,4;-6,8;-6,8;4,4;-0,0087;0,0065;0,0345
70;0,2;0,9;0,2;-0,1;4,4;-4;-6,8;7,2;-0,0061;0,0065;0,035
71;0,2;0,5;0,2;0,2;1,6;-4;-6,8;10;-0,0061;0,009;0,0355
72;-0,1;1,9;-0,1;0,5;7,2;-4;-6,8;7,2;-0,0061;0,009;0,036
73;0,2;0,5;-0,1;0,2;1,6;-4;-6,8;7,2;-0,0011;0,0065;0,0365
74;-0,1;0,9;0,2;0,2;4,4;-4;-9,6;10;-0,0061;0,0065;0,037
75;0,9;0,5;0,2;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,0065;0,0375
76;0,2;0,5;0,2;0,2;4,4;-4;-6,8;7,2;-0,0061;0,0039;0,038
77;0,2;0,9;0,2;0,5;1,6;-4;-4;7,2;-0,0061;0,0065;0,0385
78;-0,5;0,5;-0,1;-0,1;4,4;-6,8;-9,6;12,8;-0,0036;0,009;0,039
79;-0,1;0,2;0,2;-0,1;4,4;-4;-6,8;7,2;-0,0061;0,0065;0,0395
80;0,2;0,5;0,2;0,2;4,4;-4;-4;7,2;-0,0011;0,0065;0,04
81;-0,1;0,5;-0,5;-0,1;1,6;-4;-4;7,2;-0,0061;0,0065;0,0405
82;-0,1;0,5;-0,1;-0,1;1,6;-4;-4;7,2;-0,0061;0,009;0,041
83;-0,1;0,9;0,2;-0,1;4,4;-4;-6,8;7,2;-0,0061;0,0115;0,0415
84;-0,1;0,9;0,2;0,2;1,6;-6,8;-4;10;-0,0036;0,009;0,042
85;0,2;0,5;0,2;0,2;4,4;-6,8;-4;12,8;-0,0061;0,0065;0,0425
86;-0,1;1,2;-0,1;0,2;4,4;-6,8;-4;7,2;-0,0061;0,009;0,043
87;-0,1;0,5;-0,5;0,5;4,4;-6,8;-6,8;7,2;-0,0036;0,009;0,0435
88;-0,1;0,5;0,2;0,5;1,6;-6,8;-4;12,8;-0,0036;0,0065;0,044
89;-0,1;0,5;-0,1;-0,1;4,4;-4;-6,8;7,2;-0,0087;0,0065;0,0445
90;-0,5;0,5;-0,5;0,5;4,4;-4;-9,6;10;-0,0061;0,009;0,045
91;0,2;0,5;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0036;0,009;0,0455
